"MODZCTA","Positive","Total","zcta_cum.perc_pos"
11436,342,567,60.32
11213,972,1653,58.8
11212,1086,1793,60.57
11225,814,1359,59.9
11218,1163,1967,59.13
11226,1336,2170,61.57
11219,1961,3018,64.98
11210,1162,1931,60.18
11230,1573,2615,60.15
11204,1325,2234,59.31
10471,388,881,44.04
10470,321,617,52.03
10466,1650,2860,57.69
10467,2245,3851,58.3
10463,1168,2451,47.65
10475,1225,2348,52.17
10464,95,247,38.46
10469,2042,3422,59.67
10468,1591,2530,62.89
10463,1168,2451,47.65
10458,1269,2244,56.55
10034,439,797,55.08
10033,801,1298,61.71
10462,1529,2839,53.86
10040,614,988,62.15
10453,1474,2435,60.53
10465,1078,2312,46.63
10464,95,247,38.46
10464,95,247,38.46
10461,1266,2447,51.74
10457,1286,2126,60.49
10460,1041,1788,58.22
10032,937,1556,60.22
10452,1412,2244,62.92
10456,1518,2557,59.37
10472,1239,1977,62.67
10031,807,1282,62.95
10039,328,615,53.33
10459,956,1586,60.28
10451,1059,1826,58
10473,1331,2367,56.23
10030,351,590,59.49
10027,654,1244,52.57
10474,223,380,58.68
10455,795,1337,59.46
10037,297,533,55.72
10024,472,1235,38.22
10454,719,1185,60.68
10026,428,856,50
10035,636,1111,57.25
10048,NA,NA,NA
10025,875,2000,43.75
11357,560,1051,53.28
10029,1162,2222,52.3
83,NA,NA,NA
11356,358,641,55.85
11359,NA,NA,NA
11360,209,468,44.66
11105,344,732,46.99
10128,489,1312,37.27
10023,433,1105,39.19
11363,76,175,43.43
10028,371,1003,36.99
11354,675,1111,60.76
11102,379,698,54.3
11370,998,1670,59.76
10021,431,1148,37.54
11358,377,743,50.74
11362,202,448,45.09
10044,118,255,46.27
11369,1055,1483,71.14
11103,362,701,51.64
11106,417,830,50.24
11368,2817,3755,75.02
11377,1404,2231,62.93
11355,777,1286,60.42
11101,423,881,48.01
11364,330,668,49.4
10018,168,375,44.8
10020,NA,NA,NA
11005,NA,NA,NA
10017,107,310,34.52
10001,260,571,45.53
10011,394,852,46.24
10016,502,1197,41.94
11104,316,588,53.74
11109,41,125,32.8
10010,201,561,35.83
11367,694,1279,54.26
10014,233,529,44.05
10003,347,830,41.81
11222,306,643,47.59
10002,712,1358,52.43
11378,486,894,54.36
10009,518,1180,43.9
10012,116,330,35.15
10013,179,426,42.02
10007,40,130,30.77
11237,567,892,63.57
11385,1325,2387,55.51
10038,166,352,47.16
11206,975,1704,57.22
10006,14,54,25.93
11412,859,1426,60.24
10005,44,137,32.12
11251,NA,NA,NA
10004,24,64,37.5
11411,486,777,62.55
11201,447,1101,40.6
10004,24,64,37.5
11205,475,910,52.2
11208,1383,2216,62.41
11207,1233,2136,57.72
10004,24,64,37.5
10004,24,64,37.5
11413,917,1537,59.66
11217,397,762,52.1
11238,529,968,54.65
11231,289,604,47.85
11422,679,1189,57.11
11420,863,1447,59.64
11417,535,925,57.84
11215,432,1021,42.31
11231,289,604,47.85
11232,337,514,65.56
11430,NA,NA,NA
11203,1329,2138,62.16
11239,339,578,58.65
11236,1828,2903,62.97
11220,997,1615,61.73
10301,806,1588,50.76
10303,613,1198,51.17
11234,1602,2755,58.15
10302,428,845,50.65
11693,256,444,57.66
11209,772,1590,48.55
10304,1001,2003,49.98
10314,1955,4238,46.13
11228,449,826,54.36
11096,NA,NA,NA
10305,883,2001,44.13
11229,1064,1912,55.65
11214,1016,1825,55.67
11691,1496,2272,65.85
11096,NA,NA,NA
11223,1134,2049,55.34
11693,256,444,57.66
11692,392,644,60.87
11235,1293,2304,56.12
11693,256,444,57.66
10306,1087,2625,41.41
11694,458,823,55.65
11224,657,1147,57.28
10308,504,1242,40.58
11697,73,150,48.67
10312,1204,2694,44.69
10309,672,1626,41.33
10307,305,686,44.46
10280,32,103,31.07
11372,1732,2489,69.59
11004,397,653,60.8
11040,NA,NA,NA
11426,356,661,53.86
11365,562,1043,53.88
11001,NA,NA,NA
11375,1138,2175,52.32
11427,541,925,58.49
11374,792,1449,54.66
11366,298,538,55.39
11423,653,1070,61.03
11428,470,751,62.58
11432,1077,1740,61.9
11379,531,1047,50.72
11429,660,1002,65.87
11435,1009,1753,57.56
11415,366,664,55.12
11418,675,1097,61.53
11433,612,1004,60.96
11451,NA,NA,NA
11221,801,1410,56.81
11421,760,1216,62.5
11419,720,1190,60.5
11434,1356,2245,60.4
11216,484,929,52.1
11416,412,680,60.59
11233,802,1361,58.93
10055,NA,NA,NA
10019,441,999,44.14
10111,NA,NA,NA
10153,NA,NA,NA
10154,NA,NA,NA
10152,NA,NA,NA
10115,NA,NA,NA
10022,250,668,37.43
11370,998,1670,59.76
10065,244,735,33.2
10075,302,667,45.28
10069,44,114,38.6
10281,NA,NA,NA
10282,56,114,49.12
11211,1399,2332,59.99
11373,2196,3259,67.38
10279,NA,NA,NA
10165,NA,NA,NA
10168,NA,NA,NA
10105,NA,NA,NA
10118,NA,NA,NA
10176,NA,NA,NA
10170,NA,NA,NA
10112,NA,NA,NA
10122,NA,NA,NA
10107,NA,NA,NA
10103,NA,NA,NA
10174,NA,NA,NA
10166,NA,NA,NA
10169,NA,NA,NA
10167,NA,NA,NA
10177,NA,NA,NA
10172,NA,NA,NA
10171,NA,NA,NA
10270,NA,NA,NA
10104,NA,NA,NA
10271,NA,NA,NA
10110,NA,NA,NA
10175,NA,NA,NA
10151,NA,NA,NA
10173,NA,NA,NA
10178,NA,NA,NA
10121,NA,NA,NA
10123,NA,NA,NA
10106,NA,NA,NA
10158,NA,NA,NA
10041,NA,NA,NA
10120,NA,NA,NA
10278,NA,NA,NA
10155,NA,NA,NA
10043,NA,NA,NA
10081,NA,NA,NA
10096,NA,NA,NA
10097,NA,NA,NA
10196,NA,NA,NA
10196,NA,NA,NA
10275,NA,NA,NA
10265,NA,NA,NA
10045,NA,NA,NA
10047,NA,NA,NA
10047,NA,NA,NA
10080,NA,NA,NA
10203,NA,NA,NA
10259,NA,NA,NA
10260,NA,NA,NA
10285,NA,NA,NA
10286,NA,NA,NA
10035,636,1111,57.25
11371,NA,NA,NA
11361,305,603,50.58
10036,301,656,45.88
11414,588,1004,58.57
10310,506,1136,44.54
11693,256,444,57.66
11249,NA,NA,NA
10162,NA,NA,NA
10119,NA,NA,NA
